trial,duration,answer,correct,distractor count,distractor chance
1,1.570985,1,1,24,30
2,2.054859,0,0,25,40
3,1.144681,0,0,12,10
4,2.122883,0,0,60,90
5,0.7991667,1,1,20,40
6,0.8115234,1,1,20,40
7,1.045061,0,0,23,40
8,0.8662853,1,1,4,10
9,0.9109669,1,1,30,50
10,0.9105797,0,0,22,30
11,0.8783398,0,0,8,10
12,1.477943,0,0,33,60
13,2.055504,0,0,47,70
14,2.107449,0,0,4,10
15,0.965992,1,1,26,30
16,1.255775,0,0,41,70
17,0.7454681,1,1,8,10
18,1.725479,0,0,14,30
19,0.9558449,0,0,19,30
20,0.9773369,0,0,18,30
21,0.8781738,0,0,9,20
22,1.00058,1,1,6,10
23,2.234177,0,0,36,60
24,1.388752,0,0,29,40
25,1.467377,0,0,37,60
26,1.089462,0,0,55,90
27,1.633797,0,1,32,40
28,1.430763,0,0,46,70
29,1.233437,0,0,20,20
30,1.257332,0,0,24,40
31,0.8668137,0,0,14,20
32,0.855835,1,1,64,100
33,1.49231,0,0,20,30
34,1.21434,0,0,31,40
35,1.41114,0,0,48,80
36,0.9558868,0,0,7,20
37,0.901062,1,1,30,50
38,1.133141,1,1,29,50
39,1.456627,1,1,21,30
40,1.9562,0,0,61,90
41,1.156166,1,1,10,20
42,0.755722,1,1,51,80
43,3.020157,0,0,18,20
44,0.8449326,0,0,22,40
45,2.355156,0,0,64,100
46,0.7892456,1,1,64,100
47,1.367867,0,0,48,80
48,1.044281,0,0,21,40
49,1.723427,0,0,40,60
50,1.088722,0,0,25,40
51,1.433456,1,1,64,100
52,1.188614,1,1,59,90
53,2.455078,1,1,44,70
54,1.333809,0,0,9,10
55,1.922256,1,1,52,90
56,1.798454,0,0,64,100
57,1.401215,1,1,16,20
58,1.289139,1,1,64,100
59,2.500412,1,1,64,100
60,1.143997,1,1,31,40
61,1.311554,0,0,3,10
62,0.8993835,1,1,9,20
63,1.267181,1,1,64,100
64,0.9351654,1,1,43,60
65,1.133636,1,1,64,100
66,1.276825,1,1,28,40
67,1.188293,1,1,61,90
68,1.211563,0,0,17,30
69,0.8784637,1,1,26,40
70,0.8336792,1,1,47,70
71,2.354279,0,0,56,80
72,1.255844,0,0,23,30
73,1.389954,1,1,51,80
74,1.532516,1,1,49,70
75,1.266937,1,1,52,70
76,1.533844,0,0,33,50
77,0.9643707,1,1,10,10
78,1.456787,1,1,22,30
79,1.178207,0,0,26,40
80,1.245712,0,0,39,60
81,1.262482,1,1,43,60
82,0.9331207,0,0,17,20
83,1.800613,0,0,21,30
84,2.067062,0,0,64,100
85,1.112961,1,1,36,60
86,1.211731,0,0,35,60
87,1.400406,0,0,26,40
88,0.7997131,1,1,49,70
89,0.7885132,1,1,19,30
90,1.57843,0,0,32,50
91,1.111465,1,1,31,50
92,1.866409,0,0,18,30
93,1.378922,1,1,64,100
94,2.268051,0,1,46,70
95,1.999588,0,0,42,60
96,1.178101,0,0,58,90
97,1.533966,1,1,54,90
98,1.679901,0,0,37,50
99,1.234116,0,0,24,40
100,1.844803,0,0,60,90
